anio,mes,departamento,score_m4,es_mes_cosecha,percentil_historico
2000,1,Cundinamarca,,0,
2000,2,Cundinamarca,,0,
2000,3,Cundinamarca,,0,
2000,4,Cundinamarca,,1,
2000,5,Cundinamarca,,1,
2000,6,Cundinamarca,,1,
2000,7,Cundinamarca,,0,
2000,8,Cundinamarca,,0,
2000,9,Cundinamarca,,0,
2000,10,Cundinamarca,,1,
2000,11,Cundinamarca,,1,
2000,12,Cundinamarca,,1,
2001,1,Cundinamarca,,0,
2001,2,Cundinamarca,,0,
2001,3,Cundinamarca,,0,
2001,4,Cundinamarca,,1,
2001,5,Cundinamarca,,1,
2001,6,Cundinamarca,,1,
2001,7,Cundinamarca,,0,
2001,8,Cundinamarca,,0,
2001,9,Cundinamarca,,0,
2001,10,Cundinamarca,,1,
2001,11,Cundinamarca,,1,
2001,12,Cundinamarca,,1,
2002,1,Cundinamarca,,0,
2002,2,Cundinamarca,,0,
2002,3,Cundinamarca,,0,
2002,4,Cundinamarca,,1,
2002,5,Cundinamarca,,1,
2002,6,Cundinamarca,,1,
2002,7,Cundinamarca,,0,
2002,8,Cundinamarca,,0,
2002,9,Cundinamarca,,0,
2002,10,Cundinamarca,,1,
2002,11,Cundinamarca,,1,
2002,12,Cundinamarca,,1,
2003,1,Cundinamarca,,0,
2003,2,Cundinamarca,,0,
2003,3,Cundinamarca,,0,
2003,4,Cundinamarca,,1,
2003,5,Cundinamarca,,1,
2003,6,Cundinamarca,,1,
2003,7,Cundinamarca,,0,
2003,8,Cundinamarca,,0,
2003,9,Cundinamarca,,0,
2003,10,Cundinamarca,,1,
2003,11,Cundinamarca,,1,
2003,12,Cundinamarca,,1,
2004,1,Cundinamarca,,0,
2004,2,Cundinamarca,,0,
2004,3,Cundinamarca,,0,
2004,4,Cundinamarca,,1,
2004,5,Cundinamarca,,1,
2004,6,Cundinamarca,,1,
2004,7,Cundinamarca,,0,
2004,8,Cundinamarca,,0,
2004,9,Cundinamarca,,0,
2004,10,Cundinamarca,,1,
2004,11,Cundinamarca,,1,
2004,12,Cundinamarca,,1,
2005,1,Cundinamarca,,0,
2005,2,Cundinamarca,,0,
2005,3,Cundinamarca,,0,
2005,4,Cundinamarca,,1,
2005,5,Cundinamarca,,1,
2005,6,Cundinamarca,,1,
2005,7,Cundinamarca,,0,
2005,8,Cundinamarca,,0,
2005,9,Cundinamarca,,0,
2005,10,Cundinamarca,,1,
2005,11,Cundinamarca,,1,
2005,12,Cundinamarca,,1,
2006,1,Cundinamarca,,0,
2006,2,Cundinamarca,,0,
2006,3,Cundinamarca,,0,
2006,4,Cundinamarca,,1,
2006,5,Cundinamarca,,1,
2006,6,Cundinamarca,,1,
2006,7,Cundinamarca,,0,
2006,8,Cundinamarca,,0,
2006,9,Cundinamarca,,0,
2006,10,Cundinamarca,,1,
2006,11,Cundinamarca,,1,
2006,12,Cundinamarca,,1,
2007,1,Cundinamarca,-5.6587,0,55.6
2007,2,Cundinamarca,-0.324,0,66.7
2007,3,Cundinamarca,4.5088,0,72.2
2007,4,Cundinamarca,-3.2202,1,61.1
2007,5,Cundinamarca,-2.6015,1,61.1
2007,6,Cundinamarca,-7.806,1,44.4
2007,7,Cundinamarca,-9.3937,0,38.9
2007,8,Cundinamarca,-5.8387,0,44.4
2007,9,Cundinamarca,-2.5976,0,66.7
2007,10,Cundinamarca,-8.865,1,33.3
2007,11,Cundinamarca,-10.146,1,33.3
2007,12,Cundinamarca,-9.515,1,27.8
2008,1,Cundinamarca,-7.6852,0,50.0
2008,2,Cundinamarca,-4.2206,0,44.4
2008,3,Cundinamarca,2.1458,0,66.7
2008,4,Cundinamarca,-1.6076,1,66.7
2008,5,Cundinamarca,-8.1248,1,44.4
2008,6,Cundinamarca,-7.7724,1,50.0
2008,7,Cundinamarca,-2.2562,0,61.1
2008,8,Cundinamarca,-3.8772,0,66.7
2008,9,Cundinamarca,-5.992,0,55.6
2008,10,Cundinamarca,-8.3478,1,44.4
2008,11,Cundinamarca,-5.8303,1,55.6
2008,12,Cundinamarca,-7.2162,1,44.4
2009,1,Cundinamarca,-8.8324,0,44.4
2009,2,Cundinamarca,0.1416,0,72.2
2009,3,Cundinamarca,-8.6742,0,44.4
2009,4,Cundinamarca,-4.5414,1,55.6
2009,5,Cundinamarca,-2.1413,1,66.7
2009,6,Cundinamarca,-4.4591,1,66.7
2009,7,Cundinamarca,2.3607,0,72.2
2009,8,Cundinamarca,-6.545,0,38.9
2009,9,Cundinamarca,-6.6558,0,50.0
2009,10,Cundinamarca,-0.6237,1,66.7
2009,11,Cundinamarca,0.4838,1,61.1
2009,12,Cundinamarca,-2.9425,1,55.6
2010,1,Cundinamarca,-14.0959,0,27.8
2010,2,Cundinamarca,-11.8431,0,16.7
2010,3,Cundinamarca,-12.4996,0,16.7
2010,4,Cundinamarca,-11.4796,1,27.8
2010,5,Cundinamarca,-8.7191,1,33.3
2010,6,Cundinamarca,-5.4445,1,61.1
2010,7,Cundinamarca,-8.4634,0,44.4
2010,8,Cundinamarca,-5.0946,0,61.1
2010,9,Cundinamarca,-2.6629,0,61.1
2010,10,Cundinamarca,-5.9947,1,50.0
2010,11,Cundinamarca,-8.3632,1,38.9
2010,12,Cundinamarca,-8.8622,1,33.3
2011,1,Cundinamarca,-15.3022,0,16.7
2011,2,Cundinamarca,-8.2741,0,27.8
2011,3,Cundinamarca,-8.8478,0,38.9
2011,4,Cundinamarca,-7.1584,1,38.9
2011,5,Cundinamarca,-8.2201,1,38.9
2011,6,Cundinamarca,-7.2396,1,55.6
2011,7,Cundinamarca,-6.7548,0,55.6
2011,8,Cundinamarca,-5.2538,0,55.6
2011,9,Cundinamarca,-9.8446,0,38.9
2011,10,Cundinamarca,-8.5797,1,38.9
2011,11,Cundinamarca,-13.2955,1,16.7
2011,12,Cundinamarca,-7.247,1,38.9
2012,1,Cundinamarca,-4.9742,0,61.1
2012,2,Cundinamarca,-10.8128,0,22.2
2012,3,Cundinamarca,-10.224,0,22.2
2012,4,Cundinamarca,-6.8542,1,44.4
2012,5,Cundinamarca,-10.2211,1,22.2
2012,6,Cundinamarca,-12.0768,1,22.2
2012,7,Cundinamarca,-16.4609,0,11.1
2012,8,Cundinamarca,-11.5405,0,27.8
2012,9,Cundinamarca,-13.8291,0,16.7
2012,10,Cundinamarca,-11.4894,1,22.2
2012,11,Cundinamarca,-13.1446,1,22.2
2012,12,Cundinamarca,-10.278,1,22.2
2013,1,Cundinamarca,-1.1507,0,66.7
2013,2,Cundinamarca,-4.9252,0,38.9
2013,3,Cundinamarca,-14.4291,0,5.6
2013,4,Cundinamarca,-16.6467,1,5.6
2013,5,Cundinamarca,-16.6256,1,11.1
2013,6,Cundinamarca,-14.3758,1,16.7
2013,7,Cundinamarca,-11.0234,0,33.3
2013,8,Cundinamarca,-5.4029,0,50.0
2013,9,Cundinamarca,-10.8028,0,33.3
2013,10,Cundinamarca,-13.121,1,11.1
2013,11,Cundinamarca,-11.3206,1,27.8
2013,12,Cundinamarca,-17.1255,1,5.6
2014,1,Cundinamarca,-12.5779,0,33.3
2014,2,Cundinamarca,-13.0795,0,11.1
2014,3,Cundinamarca,-12.9678,0,11.1
2014,4,Cundinamarca,-16.6418,1,11.1
2014,5,Cundinamarca,-18.3096,1,5.6
2014,6,Cundinamarca,-17.0843,1,5.6
2014,7,Cundinamarca,-17.3678,0,5.6
2014,8,Cundinamarca,-17.6457,0,5.6
2014,9,Cundinamarca,-16.2284,0,5.6
2014,10,Cundinamarca,-16.8967,1,5.6
2014,11,Cundinamarca,-15.7358,1,11.1
2014,12,Cundinamarca,-15.5436,1,16.7
2015,1,Cundinamarca,1.0354,0,77.8
2015,2,Cundinamarca,1.2155,0,77.8
2015,3,Cundinamarca,8.8101,0,83.3
2015,4,Cundinamarca,5.2914,1,77.8
2015,5,Cundinamarca,5.0915,1,72.2
2015,6,Cundinamarca,1.9568,1,72.2
2015,7,Cundinamarca,1.9519,0,66.7
2015,8,Cundinamarca,6.5277,0,77.8
2015,9,Cundinamarca,5.9447,0,77.8
2015,10,Cundinamarca,2.1463,1,72.2
2015,11,Cundinamarca,4.0819,1,72.2
2015,12,Cundinamarca,1.5156,1,72.2
2016,1,Cundinamarca,4.2321,0,83.3
2016,2,Cundinamarca,6.6264,0,83.3
2016,3,Cundinamarca,9.7778,0,88.9
2016,4,Cundinamarca,2.7582,1,72.2
2016,5,Cundinamarca,6.5857,1,77.8
2016,6,Cundinamarca,6.4111,1,77.8
2016,7,Cundinamarca,3.3144,0,77.8
2016,8,Cundinamarca,7.1747,0,88.9
2016,9,Cundinamarca,6.9495,0,83.3
2016,10,Cundinamarca,6.1985,1,83.3
2016,11,Cundinamarca,9.3057,1,83.3
2016,12,Cundinamarca,7.3873,1,77.8
2017,1,Cundinamarca,11.4136,0,100.0
2017,2,Cundinamarca,8.9295,0,88.9
2017,3,Cundinamarca,7.929,0,77.8
2017,4,Cundinamarca,9.7443,1,88.9
2017,5,Cundinamarca,10.5755,1,88.9
2017,6,Cundinamarca,11.2032,1,88.9
2017,7,Cundinamarca,7.2727,0,94.4
2017,8,Cundinamarca,3.2,0,72.2
2017,9,Cundinamarca,7.271,0,88.9
2017,10,Cundinamarca,9.595,1,88.9
2017,11,Cundinamarca,10.1175,1,88.9
2017,12,Cundinamarca,8.1961,1,83.3
2018,1,Cundinamarca,-1.1111,0,72.2
2018,2,Cundinamarca,-1.3992,0,61.1
2018,3,Cundinamarca,-0.909,0,61.1
2018,4,Cundinamarca,9.1727,1,83.3
2018,5,Cundinamarca,8.3301,1,83.3
2018,6,Cundinamarca,14.4627,1,100.0
2018,7,Cundinamarca,16.4719,0,100.0
2018,8,Cundinamarca,8.2968,0,94.4
2018,9,Cundinamarca,-0.1459,0,72.2
2018,10,Cundinamarca,3.6472,1,77.8
2018,11,Cundinamarca,5.0498,1,77.8
2018,12,Cundinamarca,12.0219,1,100.0
2019,1,Cundinamarca,11.1182,0,94.4
2019,2,Cundinamarca,12.1246,0,100.0
2019,3,Cundinamarca,12.0027,0,94.4
2019,4,Cundinamarca,20.8483,1,100.0
2019,5,Cundinamarca,16.1564,1,100.0
2019,6,Cundinamarca,12.2754,1,94.4
2019,7,Cundinamarca,7.0541,0,88.9
2019,8,Cundinamarca,10.4941,0,100.0
2019,9,Cundinamarca,11.7857,0,94.4
2019,10,Cundinamarca,15.4362,1,100.0
2019,11,Cundinamarca,12.5627,1,100.0
2019,12,Cundinamarca,8.7621,1,88.9
2020,1,Cundinamarca,7.3873,0,88.9
2020,2,Cundinamarca,11.1723,0,94.4
2020,3,Cundinamarca,12.9417,0,100.0
2020,4,Cundinamarca,13.0522,1,94.4
2020,5,Cundinamarca,15.366,1,94.4
2020,6,Cundinamarca,9.2722,1,83.3
2020,7,Cundinamarca,6.9686,0,83.3
2020,8,Cundinamarca,6.9196,0,83.3
2020,9,Cundinamarca,14.0872,0,100.0
2020,10,Cundinamarca,15.2297,1,94.4
2020,11,Cundinamarca,11.4797,1,94.4
2020,12,Cundinamarca,11.9114,1,94.4
2021,1,Cundinamarca,-16.6665,0,11.1
2021,2,Cundinamarca,-5.4299,0,33.3
2021,3,Cundinamarca,-9.2299,0,27.8
2021,4,Cundinamarca,-14.7002,1,16.7
2021,5,Cundinamarca,-9.6873,1,27.8
2021,6,Cundinamarca,-10.8214,1,38.9
2021,7,Cundinamarca,-11.4423,0,27.8
2021,8,Cundinamarca,-15.3354,0,16.7
2021,9,Cundinamarca,-14.0621,0,11.1
2021,10,Cundinamarca,-9.6981,1,27.8
2021,11,Cundinamarca,-8.0669,1,44.4
2021,12,Cundinamarca,-2.8597,1,61.1
2022,1,Cundinamarca,-9.1064,0,38.9
2022,2,Cundinamarca,-3.5514,0,50.0
2022,3,Cundinamarca,-1.8357,0,55.6
2022,4,Cundinamarca,-11.7752,1,22.2
2022,5,Cundinamarca,-16.598,1,16.7
2022,6,Cundinamarca,-15.9932,1,11.1
2022,7,Cundinamarca,-13.188,0,22.2
2022,8,Cundinamarca,-11.2948,0,33.3
2022,9,Cundinamarca,-9.5931,0,44.4
2022,10,Cundinamarca,-5.9149,1,55.6
2022,11,Cundinamarca,-16.1675,1,5.6
2022,12,Cundinamarca,-16.4721,1,11.1
2023,1,Cundinamarca,-17.6197,0,5.6
2023,2,Cundinamarca,-15.0473,0,5.6
2023,3,Cundinamarca,-9.0245,0,33.3
2023,4,Cundinamarca,-9.9343,1,33.3
2023,5,Cundinamarca,-6.4332,1,50.0
2023,6,Cundinamarca,-11.993,1,27.8
2023,7,Cundinamarca,-13.8785,0,16.7
2023,8,Cundinamarca,-17.5226,0,11.1
2023,9,Cundinamarca,-10.8795,0,27.8
2023,10,Cundinamarca,-11.6445,1,16.7
2023,11,Cundinamarca,-6.6477,1,50.0
2023,12,Cundinamarca,-7.0007,1,50.0
2024,1,Cundinamarca,-14.7119,0,22.2
2024,2,Cundinamarca,-3.4203,0,55.6
2024,3,Cundinamarca,-3.6409,0,50.0
2024,4,Cundinamarca,-5.7671,1,50.0
2024,5,Cundinamarca,-5.3325,1,55.6
2024,6,Cundinamarca,-11.1054,1,33.3
2024,7,Cundinamarca,-7.0329,0,50.0
2024,8,Cundinamarca,-13.4938,0,22.2
2024,9,Cundinamarca,-11.0617,0,22.2
2024,10,Cundinamarca,-2.4081,1,61.1
2024,11,Cundinamarca,0.9103,1,66.7
2024,12,Cundinamarca,0.5763,1,66.7
2025,1,Cundinamarca,,0,
2025,2,Cundinamarca,,0,
2025,3,Cundinamarca,,0,
2025,4,Cundinamarca,,1,
2025,5,Cundinamarca,,1,
2025,6,Cundinamarca,,1,
2025,7,Cundinamarca,,0,
2025,8,Cundinamarca,,0,
2025,9,Cundinamarca,,0,
2025,10,Cundinamarca,,1,
2025,11,Cundinamarca,,1,
2025,12,Cundinamarca,,1,
2026,1,Cundinamarca,,0,
2026,2,Cundinamarca,,0,
2000,1,Risaralda,,0,
2000,2,Risaralda,,0,
2000,3,Risaralda,,0,
2000,4,Risaralda,,1,
2000,5,Risaralda,,1,
2000,6,Risaralda,,1,
2000,7,Risaralda,,0,
2000,8,Risaralda,,0,
2000,9,Risaralda,,0,
2000,10,Risaralda,,1,
2000,11,Risaralda,,1,
2000,12,Risaralda,,1,
2001,1,Risaralda,,0,
2001,2,Risaralda,,0,
2001,3,Risaralda,,0,
2001,4,Risaralda,,1,
2001,5,Risaralda,,1,
2001,6,Risaralda,,1,
2001,7,Risaralda,,0,
2001,8,Risaralda,,0,
2001,9,Risaralda,,0,
2001,10,Risaralda,,1,
2001,11,Risaralda,,1,
2001,12,Risaralda,,1,
2002,1,Risaralda,,0,
2002,2,Risaralda,,0,
2002,3,Risaralda,,0,
2002,4,Risaralda,,1,
2002,5,Risaralda,,1,
2002,6,Risaralda,,1,
2002,7,Risaralda,,0,
2002,8,Risaralda,,0,
2002,9,Risaralda,,0,
2002,10,Risaralda,,1,
2002,11,Risaralda,,1,
2002,12,Risaralda,,1,
2003,1,Risaralda,,0,
2003,2,Risaralda,,0,
2003,3,Risaralda,,0,
2003,4,Risaralda,,1,
2003,5,Risaralda,,1,
2003,6,Risaralda,,1,
2003,7,Risaralda,,0,
2003,8,Risaralda,,0,
2003,9,Risaralda,,0,
2003,10,Risaralda,,1,
2003,11,Risaralda,,1,
2003,12,Risaralda,,1,
2004,1,Risaralda,,0,
2004,2,Risaralda,,0,
2004,3,Risaralda,,0,
2004,4,Risaralda,,1,
2004,5,Risaralda,,1,
2004,6,Risaralda,,1,
2004,7,Risaralda,,0,
2004,8,Risaralda,,0,
2004,9,Risaralda,,0,
2004,10,Risaralda,,1,
2004,11,Risaralda,,1,
2004,12,Risaralda,,1,
2005,1,Risaralda,,0,
2005,2,Risaralda,,0,
2005,3,Risaralda,,0,
2005,4,Risaralda,,1,
2005,5,Risaralda,,1,
2005,6,Risaralda,,1,
2005,7,Risaralda,,0,
2005,8,Risaralda,,0,
2005,9,Risaralda,,0,
2005,10,Risaralda,,1,
2005,11,Risaralda,,1,
2005,12,Risaralda,,1,
2006,1,Risaralda,,0,
2006,2,Risaralda,,0,
2006,3,Risaralda,,0,
2006,4,Risaralda,,1,
2006,5,Risaralda,,1,
2006,6,Risaralda,,1,
2006,7,Risaralda,,0,
2006,8,Risaralda,,0,
2006,9,Risaralda,,0,
2006,10,Risaralda,,1,
2006,11,Risaralda,,1,
2006,12,Risaralda,,1,
2007,1,Risaralda,16.7704,0,100.0
2007,2,Risaralda,12.0611,0,61.1
2007,3,Risaralda,9.5983,0,55.6
2007,4,Risaralda,20.499,1,100.0
2007,5,Risaralda,23.8747,1,100.0
2007,6,Risaralda,17.5693,1,94.4
2007,7,Risaralda,-3.4334,0,38.9
2007,8,Risaralda,0.3985,0,50.0
2007,9,Risaralda,11.7416,0,94.4
2007,10,Risaralda,14.4303,1,94.4
2007,11,Risaralda,14.3979,1,88.9
2007,12,Risaralda,18.5005,1,94.4
2008,1,Risaralda,7.8003,0,72.2
2008,2,Risaralda,20.0258,0,100.0
2008,3,Risaralda,3.7081,0,44.4
2008,4,Risaralda,6.9362,1,66.7
2008,5,Risaralda,8.0308,1,72.2
2008,6,Risaralda,6.1872,1,61.1
2008,7,Risaralda,5.4076,0,66.7
2008,8,Risaralda,13.8655,0,94.4
2008,9,Risaralda,17.5499,0,100.0
2008,10,Risaralda,7.7764,1,55.6
2008,11,Risaralda,4.799,1,66.7
2008,12,Risaralda,8.4244,1,83.3
2009,1,Risaralda,-0.2462,0,38.9
2009,2,Risaralda,18.0437,0,94.4
2009,3,Risaralda,11.2311,0,83.3
2009,4,Risaralda,3.3507,1,50.0
2009,5,Risaralda,0.7764,1,38.9
2009,6,Risaralda,2.8176,1,44.4
2009,7,Risaralda,1.7081,0,55.6
2009,8,Risaralda,-2.5395,0,38.9
2009,9,Risaralda,2.6137,0,44.4
2009,10,Risaralda,0.6216,1,33.3
2009,11,Risaralda,0.7298,1,44.4
2009,12,Risaralda,2.1553,1,44.4
2010,1,Risaralda,-10.1084,0,16.7
2010,2,Risaralda,-7.031,0,11.1
2010,3,Risaralda,13.2148,0,94.4
2010,4,Risaralda,15.7146,1,94.4
2010,5,Risaralda,14.8475,1,94.4
2010,6,Risaralda,23.9887,1,100.0
2010,7,Risaralda,-6.3192,0,27.8
2010,8,Risaralda,-10.4676,0,22.2
2010,9,Risaralda,-8.6196,0,22.2
2010,10,Risaralda,17.8746,1,100.0
2010,11,Risaralda,23.4869,1,100.0
2010,12,Risaralda,19.5581,1,100.0
2011,1,Risaralda,6.5341,0,55.6
2011,2,Risaralda,1.7433,0,38.9
2011,3,Risaralda,-8.8227,0,22.2
2011,4,Risaralda,-8.548,1,38.9
2011,5,Risaralda,-8.6211,1,22.2
2011,6,Risaralda,-3.9903,1,33.3
2011,7,Risaralda,-5.731,0,33.3
2011,8,Risaralda,-5.982,0,27.8
2011,9,Risaralda,-4.9678,0,33.3
2011,10,Risaralda,-10.4715,1,22.2
2011,11,Risaralda,-14.3649,1,11.1
2011,12,Risaralda,-3.8302,1,33.3
2012,1,Risaralda,5.3609,0,50.0
2012,2,Risaralda,-5.709,0,22.2
2012,3,Risaralda,-12.9668,0,5.6
2012,4,Risaralda,-17.3146,1,5.6
2012,5,Risaralda,-18.3483,1,5.6
2012,6,Risaralda,-18.3061,1,5.6
2012,7,Risaralda,-14.2466,0,11.1
2012,8,Risaralda,-14.7037,0,11.1
2012,9,Risaralda,-12.7815,0,11.1
2012,10,Risaralda,-19.5052,1,5.6
2012,11,Risaralda,-18.2655,1,5.6
2012,12,Risaralda,-18.8788,1,5.6
2013,1,Risaralda,-9.5513,0,22.2
2013,2,Risaralda,-6.69,0,16.7
2013,3,Risaralda,-2.7784,0,27.8
2013,4,Risaralda,-15.682,1,11.1
2013,5,Risaralda,-13.8986,1,11.1
2013,6,Risaralda,-15.298,1,11.1
2013,7,Risaralda,-2.5738,0,44.4
2013,8,Risaralda,-5.9652,0,33.3
2013,9,Risaralda,-11.4668,0,16.7
2013,10,Risaralda,-16.1875,1,11.1
2013,11,Risaralda,-6.9484,1,22.2
2013,12,Risaralda,-14.9545,1,16.7
2014,1,Risaralda,-8.5406,0,27.8
2014,2,Risaralda,15.6572,0,88.9
2014,3,Risaralda,-2.1947,0,33.3
2014,4,Risaralda,-13.2059,1,16.7
2014,5,Risaralda,-10.5533,1,16.7
2014,6,Risaralda,-14.3927,1,22.2
2014,7,Risaralda,-12.0291,0,22.2
2014,8,Risaralda,-2.3655,0,44.4
2014,9,Risaralda,-5.1765,0,27.8
2014,10,Risaralda,-11.3999,1,16.7
2014,11,Risaralda,-13.9994,1,16.7
2014,12,Risaralda,-18.6916,1,11.1
2015,1,Risaralda,4.8309,0,44.4
2015,2,Risaralda,9.4006,0,44.4
2015,3,Risaralda,10.4552,0,66.7
2015,4,Risaralda,4.4956,1,55.6
2015,5,Risaralda,2.7921,1,44.4
2015,6,Risaralda,0.4767,1,38.9
2015,7,Risaralda,12.5823,0,94.4
2015,8,Risaralda,3.7172,0,55.6
2015,9,Risaralda,3.5657,0,50.0
2015,10,Risaralda,1.7545,1,38.9
2015,11,Risaralda,1.1369,1,50.0
2015,12,Risaralda,-1.4413,1,38.9
2016,1,Risaralda,9.0499,0,83.3
2016,2,Risaralda,12.7984,0,72.2
2016,3,Risaralda,10.9857,0,77.8
2016,4,Risaralda,1.9475,1,44.4
2016,5,Risaralda,3.2238,1,50.0
2016,6,Risaralda,3.8437,1,50.0
2016,7,Risaralda,8.9108,0,83.3
2016,8,Risaralda,7.5167,0,77.8
2016,9,Risaralda,3.9411,0,55.6
2016,10,Risaralda,5.485,1,50.0
2016,11,Risaralda,2.2918,1,55.6
2016,12,Risaralda,4.7439,1,55.6
2017,1,Risaralda,10.8115,0,94.4
2017,2,Risaralda,14.9586,0,83.3
2017,3,Risaralda,5.0515,0,50.0
2017,4,Risaralda,6.2699,1,61.1
2017,5,Risaralda,3.4744,1,55.6
2017,6,Risaralda,4.485,1,55.6
2017,7,Risaralda,9.2903,0,88.9
2017,8,Risaralda,9.8235,0,83.3
2017,9,Risaralda,8.5002,0,66.7
2017,10,Risaralda,9.1293,1,77.8
2017,11,Risaralda,9.6825,1,83.3
2017,12,Risaralda,5.4872,1,66.7
2018,1,Risaralda,10.4932,0,88.9
2018,2,Risaralda,10.7836,0,50.0
2018,3,Risaralda,10.6425,0,72.2
2018,4,Risaralda,7.7739,1,72.2
2018,5,Risaralda,9.293,1,83.3
2018,6,Risaralda,6.3537,1,66.7
2018,7,Risaralda,0.9592,0,50.0
2018,8,Risaralda,6.5742,0,72.2
2018,9,Risaralda,11.3678,0,88.9
2018,10,Risaralda,8.2234,1,66.7
2018,11,Risaralda,9.0118,1,77.8
2018,12,Risaralda,5.047,1,61.1
2019,1,Risaralda,6.9668,0,61.1
2019,2,Risaralda,11.285,0,55.6
2019,3,Risaralda,13.2305,0,100.0
2019,4,Risaralda,9.1457,1,77.8
2019,5,Risaralda,10.5921,1,88.9
2019,6,Risaralda,11.2822,1,88.9
2019,7,Risaralda,5.8871,0,72.2
2019,8,Risaralda,6.005,0,66.7
2019,9,Risaralda,9.6422,0,77.8
2019,10,Risaralda,7.8928,1,61.1
2019,11,Risaralda,6.3913,1,72.2
2019,12,Risaralda,6.934,1,72.2
2020,1,Risaralda,7.5789,0,66.7
2020,2,Risaralda,12.3527,0,66.7
2020,3,Risaralda,10.4008,0,61.1
2020,4,Risaralda,11.2763,1,83.3
2020,5,Risaralda,9.2722,1,77.8
2020,6,Risaralda,7.109,1,77.8
2020,7,Risaralda,3.766,0,61.1
2020,8,Risaralda,4.9979,0,61.1
2020,9,Risaralda,4.4948,0,61.1
2020,10,Risaralda,3.6801,1,44.4
2020,11,Risaralda,3.7557,1,61.1
2020,12,Risaralda,7.7242,1,77.8
2021,1,Risaralda,-16.4375,0,5.6
2021,2,Risaralda,-5.0861,0,27.8
2021,3,Risaralda,-9.1382,0,16.7
2021,4,Risaralda,-8.678,1,27.8
2021,5,Risaralda,-8.5432,1,27.8
2021,6,Risaralda,-15.0745,1,16.7
2021,7,Risaralda,-14.5008,0,5.6
2021,8,Risaralda,-17.1391,0,5.6
2021,9,Risaralda,-13.9188,0,5.6
2021,10,Risaralda,-6.6583,1,27.8
2021,11,Risaralda,-6.5443,1,27.8
2021,12,Risaralda,9.6341,1,88.9
2022,1,Risaralda,-12.0896,0,11.1
2022,2,Risaralda,-1.0797,0,33.3
2022,3,Risaralda,1.2088,0,38.9
2022,4,Risaralda,-10.6547,1,22.2
2022,5,Risaralda,6.489,1,61.1
2022,6,Risaralda,-8.3684,1,27.8
2022,7,Risaralda,-12.6983,0,16.7
2022,8,Risaralda,-11.3718,0,16.7
2022,9,Risaralda,-1.5524,0,38.9
2022,10,Risaralda,11.868,1,88.9
2022,11,Risaralda,-1.9878,1,38.9
2022,12,Risaralda,-9.5421,1,22.2
2023,1,Risaralda,-8.0051,0,33.3
2023,2,Risaralda,-20.9568,0,5.6
2023,3,Risaralda,-9.7943,0,11.1
2023,4,Risaralda,-8.6314,1,33.3
2023,5,Risaralda,-6.4495,1,33.3
2023,6,Risaralda,6.954,1,72.2
2023,7,Risaralda,8.1192,0,77.8
2023,8,Risaralda,12.5917,0,88.9
2023,9,Risaralda,10.8062,0,83.3
2023,10,Risaralda,8.8756,1,72.2
2023,11,Risaralda,-2.4656,1,33.3
2023,12,Risaralda,3.0848,1,50.0
2024,1,Risaralda,8.4958,0,77.8
2024,2,Risaralda,12.8825,0,77.8
2024,3,Risaralda,11.5184,0,88.9
2024,4,Risaralda,13.0933,1,88.9
2024,5,Risaralda,7.2329,1,66.7
2024,6,Risaralda,8.4119,1,83.3
2024,7,Risaralda,13.9396,0,100.0
2024,8,Risaralda,14.2997,0,100.0
2024,9,Risaralda,9.0517,0,72.2
2024,10,Risaralda,11.7002,1,83.3
2024,11,Risaralda,21.5378,1,94.4
2024,12,Risaralda,-4.8953,1,27.8
2025,1,Risaralda,,0,
2025,2,Risaralda,,0,
2025,3,Risaralda,,0,
2025,4,Risaralda,,1,
2025,5,Risaralda,,1,
2025,6,Risaralda,,1,
2025,7,Risaralda,,0,
2025,8,Risaralda,,0,
2025,9,Risaralda,,0,
2025,10,Risaralda,,1,
2025,11,Risaralda,,1,
2025,12,Risaralda,,1,
2026,1,Risaralda,,0,
2026,2,Risaralda,,0,
